,No.,GaodeLng,GaodeLat,housing_price,compact,open,large_low_rise,UGS,Distance,T20200518,T20210725,T20210324,T20191002,T20190904,T20221020,T20190306,T20230809,T20211221,T20191031,T20220522,T20200610,T20210505,T20200129,T20220410,T20220628,T20220406,T20200202,T20221125,T20230412,T20220611,T20210427,T20230408,T20211125,T20190707,T20220505,T20220702,T20230804,T20190610,T20191018,T20210212,T20210613,T20230915,T20210530,T20210501,T20190815,T20220928,T20200902,T20220501,T20220530,T20220526,T20230612,T20210328,T20200324,District_id,Dist_1,Dist_2,Dist_3,Dist_4,Dist_5,Dist_6,Dist_7,Dist_8
0,1,113.5971302,34.73956901,0.827612005,68.68200016,28.17937404,3.138627633,6.668609054,5.890108241,21.1179804,,,33.91087616,28.75385659,25.67725525,10.04433797,34.46243591,19.21075098,22.22854292,30.73423151,36.97038279,21.62725563,,,40.361559,25.215552,16.19538002,16.42308668,10.29294691,30.99430982,30.67506911,19.87516372,13.48503539,30.01548252,24.93855852,34.1601295,50.83467229,38.6618974,12.52250404,9.124549635,,26.73100548,42.24675598,26.22520599,36.77377991,35.44359008,33.07334052,23.28180804,45.25591676,36.92135239,30.7973488,19.28261804,22.03659001,1,1,0,0,0,0,0,0,0
1,2,113.5871282,34.74821571,1.289821438,44.98900732,23.06800447,27.31386245,5.182315663,6.624584626,17.71700592,,,34.83728706,30.00623192,24.11108112,,33.03719514,19.72000597,24.47132191,31.19747326,38.02380352,22.55227214,,,41.2029552,25.91433496,16.62541,17.12588215,10.52536165,31.58223535,32.24597941,21.54572934,13.45311135,30.96699913,25.42114644,34.26911567,50.12289497,,12.27568469,,,26.67994244,43.27671444,28.22963302,37.81188087,36.17507046,34.20560403,23.99785218,45.86321369,37.33808283,30.86013214,22.19013081,22.45163002,1,1,0,0,0,0,0,0,0
2,3,113.5384009,34.76622559,1.249579629,40.22857992,31.85714586,25.51758339,4.396227321,11.14908804,19.91037935,36.73177173,,35.1341093,29.43577232,26.17418236,,34.23923668,19.55554122,23.35141578,30.57793095,40.10818799,23.32203211,,,38.08445156,26.30553593,16.5608668,17.13819949,10.75525703,31.10463085,29.51452223,20.51852474,13.06709483,30.21550503,25.15199422,32.29469066,48.70437085,39.69737324,12.27538071,,,26.15577698,43.31164129,28.65151555,37.06404218,36.30427328,32.86493861,24.68190601,46.78960653,37.73311032,28.88308754,25.85684165,20.89593186,1,1,0,0,0,0,0,0,0
3,4,113.5359313,34.766242,1.150515723,38.43011471,32.18322952,28.34119013,4.949115097,11.37370293,20.04572954,36.86158447,,35.14393114,30.04143477,25.52538128,,34.26339377,19.64238129,23.48628743,30.74866045,40.26137807,23.29745976,,,38.49753712,26.5529004,16.44962056,17.21688415,10.81249128,31.54736443,29.43426455,20.78747423,13.34050655,30.1325198,25.22454,32.48653645,49.75000606,39.47400426,12.38838024,,,26.25275669,43.432987,28.88522588,37.78050613,36.68936935,33.43864874,24.74013039,46.79962438,37.85675545,29.32051888,25.90665279,20.78747462,1,1,0,0,0,0,0,0,0
4,5,113.5332375,34.76824268,1.278180029,29.31167907,23.84510687,44.653012,7.852438493,11.64741212,20.09725628,36.885253,,34.84962953,29.94405472,25.08296232,,35.25522381,19.22568559,23.36925233,30.83187552,40.30025635,23.31199428,,,38.58798218,26.47994439,16.35563011,17.21392996,10.8083915,31.84258419,29.15430943,21.29645992,13.40899349,30.09378158,25.4765458,32.28672816,50.07654148,39.6544515,12.34951198,,,26.14308867,43.40418195,28.91435403,37.95062825,36.55747638,34.02627905,24.98888876,47.27166014,37.87755196,29.29568285,26.00416802,20.66032074,1,1,0,0,0,0,0,0,0
5,6,113.5433194,34.76597034,0.992586695,39.66534514,33.46483097,20.99927564,5.363538028,10.69874126,20.27798134,37.36530147,,34.2844358,28.58642942,26.19484905,,35.61542989,19.65826396,22.60588226,30.50265279,39.63440882,23.05823237,,,37.95000581,25.97753718,16.05874755,16.70017821,10.95113258,30.77570217,29.62707597,20.58094836,12.88550663,30.05309192,25.03062676,32.47829698,48.68149134,39.2929217,12.08813152,,,25.74013668,42.93775768,28.12038212,36.79604296,35.82180729,31.99461981,24.92600651,47.2478941,37.5004994,28.96007037,25.86056481,21.16595633,1,1,0,0,0,0,0,0,0
6,7,113.5433015,34.76517211,0.857862138,40.1225072,34.85970456,20.84023669,7.452093601,10.68936675,20.32598109,37.65344477,,34.33793055,28.67994022,26.04704134,,35.32905361,19.63247304,22.60887482,30.55000587,39.5262798,23.06637936,,,38.12580423,26.05403166,15.99787231,16.92730737,11.0030077,30.70050659,29.69380304,20.70225525,13.05572055,30.13176684,25.03870122,32.51400717,48.85784294,38.98286293,12.06165246,,,25.64407191,42.98618081,28.20222906,36.9954143,35.815993,32.09137741,24.92434596,47.04371653,37.4175832,29.02376484,25.81037639,21.21272297,1,1,0,0,0,0,0,0,0
7,8,113.5420498,34.76596172,0.94429394,40.76458901,33.20788776,22.95327151,6.234013671,10.81393248,20.20630316,37.17481273,,34.54215694,28.68056929,26.37136163,,35.13868512,19.53211776,22.61783254,30.47775813,39.53198129,23.02506586,,,37.79797593,25.91852428,16.19987367,16.76920581,10.85188293,30.72938118,29.35026094,20.32443546,12.91469023,30.03654819,25.05101176,32.31806352,48.35612664,39.4413681,12.09375629,,,25.81824229,42.84355183,28.12786923,36.84600506,35.75827855,32.09678796,24.83418313,46.96325588,37.44409352,28.81561182,25.79525585,21.15000703,1,1,0,0,0,0,0,0,0
8,9,113.5556906,34.75381203,1.219102605,27.5104184,50.61497984,14.6051269,13.97597998,9.477267262,18.85658899,37.51054671,,35.04258488,28.96250629,25.78723951,,34.18131024,19.16568577,22.43683809,31.33555334,38.15136417,21.84213142,,,38.71304476,25.73868489,15.33367843,17.37403551,10.5973004,30.89956377,28.60579561,18.44811935,13.85713005,30.32525768,24.77252216,32.52056563,49.44163922,36.7180013,12.44025223,,,26.58852434,42.10208053,27.17413158,36.69310993,36.12709625,33.36484916,23.74481626,44.88086955,37.68215942,28.83475742,22.42588196,21.80734697,1,1,0,0,0,0,0,0,0
9,10,113.5830325,34.74293878,0.909751684,22.93270988,36.85930164,35.89181214,5.735147135,7.072071634,16.9377552,37.58758861,,33.86671564,28.86734781,23.51631482,,34.3760621,18.93456764,23.46416413,30.14503735,37.04654459,22.55278439,,,40.29559535,25.45102454,15.39335945,15.81317875,10.50013459,31.12590776,31.04906196,20.17173315,12.81174559,30.42370945,25.12625542,33.21013348,48.15021094,40.62600708,12.00663147,,,26.10975609,42.67950649,27.82866489,35.91713142,34.6756319,32.69713192,22.86734878,44.61886771,36.67980755,29.54638119,18.73544629,21.50827705,1,1,0,0,0,0,0,0,0
